id,name,wiki,r,theta,height,color
s1,Prakith,Prakith,36,142,42,#FFE87C
s2,Tython,Tython,37,92,-47,#AED6F1
s3,Byss,Byss,46,209,-38,#E8744F
s4,Foerost,Foerost,60,75,44,#D4E6F1
s5,N'Zoth,N'Zoth,78,133,-41,#F9E79F
s6,Cal-Seti,Cal-Seti,78,226,29,#AED6F1
s7,Chandrila,Chandrila,78,42,-27,#85C1E9
s8,Coruscant,Coruscant,80,89,18,#E6B0AA
s9,Corellia,Corellia,89,343,-23,#E8744F
s10,Alsakan,Alsakan,92,79,34,#E8744F
s11,Abregado-rae,Abregado-rae,103,270,4,#85C1E9
s12,Spira,Spira,105,240,-4,#E6B0AA
s13,Caamas,Caamas,105,54,-15,#D4E6F1
s14,Hosnian Prime,Hosnian_Prime,106,314,1,#AED6F1
s15,Alderaan,Alderaan,106,45,3,#F9E79F
s16,Ralltiir,Ralltiir,106,71,11,#FFFFFF
s17,Duro,Duro,107,331,15,#85C1E9
s18,Kuat,Kuat,118,23,-2,#FFE87C
s19,Borleias,Borleias,121,100,-5,#D4E6F1
s20,Cato Neimoidia,Cato_Neimoidia,126,358,6,#AED6F1
s21,Fondor,Fondor,128,277,-14,#E8744F
s22,Dankayo,Dankayo,140,219,15,#D4E6F1
s23,Phu,Phu,143,245,15,#E6B0AA
s24,Carida,Carida,144,49,10,#D7BDE2
s25,Arkania,Arkania,145,67,7,#FADBD8
s26,Commenor,Commenor,148,15,-15,#E6B0AA
s27,Balmorra,Balmorra,150,24,3,#E6B0AA
s28,Selvaris,Selvaris,160,133,-4,#F9E79F
s29,Bestine,Bestine,162,291,3,#FFE87C
s30,Atzerri,Atzerri,168,318,11,#AED6F1
s31,Jakku,Jakku,170,217,2,#E8744F
s32,Thyferra,Thyferra,172,282,-3,#D4E6F1
s33,Bilbringi,Bilbringi,175,108,-15,#F9E79F
s34,Manaan,Manaan,176,356,-15,#AED6F1
s35,Corsin,Corsin,183,82,-9,#85C1E9
s36,Denova,Denova,195,344,-14,#E6B0AA
s37,M4-78,M4-78,197,246,-13,#E8744F
s38,Dorin,Dorin,199,111,12,#E8744F
s39,Jedha,Jedha,202,192,5,#85C1E9
s40,Yag'Dhul,Yag'Dhul,208,284,-2,#E6B0AA
s41,Shili,Shili,210,67,3,#D4E6F1
s42,Edan II,Edan_II,212,124,6,#AED6F1
s43,Mimban,Mimban,216,351,5,#F9E79F
s44,Reytha,Reytha,218,320,-2,#FFFFFF
s45,Obroa-skai,Obroa-skai,220,51,-4,#85C1E9
s46,Ord Mantell,Ord_Mantell,220,89,4,#FFE87C
s47,HAPES,HAPES,228,29,0,#D4E6F1
s48,Onderon,Onderon,232,23,7,#AED6F1
s49,Rakata Prime,Rakata_Prime,237,186,-6,#E8744F
s50,Derra IV,Derra_IV,238,297,4,#D4E6F1
s51,Iridonia,Iridonia,244,101,6,#E6B0AA
s52,Zaloriis,Zaloriis,244,265,2,#D7BDE2
s53,Umbara,Umbara,245,17,-5,#FADBD8
s54,Taanab,Taanab,249,35,7,#E6B0AA
s55,Wrea,Wrea,249,160,0,#E6B0AA
s56,Taloraan,Taloraan,252,342,-5,#F9E79F
s57,Myrkr,Myrkr,256,53,4,#FFE87C
s58,Kril'Dor,Kril'Dor,256,122,7,#AED6F1
s59,Alpheridies,Alpheridies,258,321,-3,#E8744F
s60,Giaca,Giaca,259,212,-7,#D4E6F1
s61,Umgul,Umgul,260,235,-5,#F9E79F
s62,Tomark ii,Tomark_ii,261,67,2,#AED6F1
s63,Rathalay,Rathalay,263,92,6,#85C1E9
s64,O'reen,O'reen,265,201,-4,#E6B0AA
s65,Morcanth,Morcanth,268,192,-6,#E8744F
s66,Ithor,Ithor,270,77,1,#E8744F
s67,Sarvchi,Sarvchi,271,150,-7,#85C1E9
s68,M'haeli,M'haeli,271,298,1,#E6B0AA
s69,Waylan,Waylan,272,55,5,#D4E6F1
s70,Takodana,Takodana,272,243,3,#AED6F1
s71,Qat Chrystac,Qat_Chrystac,273,286,-2,#F9E79F
s72,Ansion,Ansion,274,115,-5,#FFFFFF
s73,Cyrilla,Cyrilla,275,332,6,#85C1E9
s74,Kinyen,Kinyen,282,271,-1,#FFE87C
s75,Kashyyyk,Kashyyyk,283,18,-4,#D4E6F1
s76,Ruusan,Ruusan,283,5,-2,#AED6F1
s77,Ord Baniir,Ord_Baniir,285,94,-7,#E8744F
s78,Kro Var,Kro_Var,285,219,-3,#D4E6F1
s79,Rekkiad,Rekkiad,286,127,3,#E6B0AA
